word
INCOMEFROM
technologysolutions
Acquisitions
ANDRESTRICTEDCASH
Restructuringcosts
tive
ofborrowed
Tatal
TAXS
operati
Comodity
Includes
frombanks
HOMI
STOCKAND
iters
accountingand
Syndicated
Rewlvng
frominvestmnts
ACL
onertione
PARC
Repurchasesof
termloans
issuedand
dws
TCL
entities
Withholding
commtted
Ulner
ofFHLB
INESTINGACMIVITIES
CIy
OGdi
oftreasury
SALES
Cyptocurrency
prevously
MVCsthg
wthdrawals
ofuneamed
earnout
Tennant
JOU
ofacquisitions
NNCOMEBEFORETAX
Paymentsfor
structures
eamnings
attribbutable
oftransaction
Decerrber
Businesses
conissions
recorded
subsi
UulI
Pretaxnet
holders
authorizedas
PLBY
earlyretirement
curent
ICCCIvauIc
accountc
nrovidedbvoneratino
Checks
GOTDNT
Scentific
assumng
BENEFITS
AiIlt
fiomunconsolidated
liabilitics
Termloans
Cunrency
fees
BEFORENNCOMETAX
ofpurchase
vestingof
Adevinta
contractholders
unconsolidatedjoint
Investments
FNANCINGACMIVITIES
Casm
paidto
beneiits
Provisionfor
ofpayments
CCDD
groups
tendered
outstandingon
FAS
treasurystock
DCCCIDCI
Sponsored
Cistcu
ofrisk
cas
Endof
adjustnent
wthheld
Mrtgage
suppliers
taxliability
Provisions
investrents
Technologies
unrecogized
equityinvestments
exppenses
fromFHLB
eeeue
thehigh
laUllICS
ofearned
ofterm
developnnt
Snales
Trapani
sharehoders
avilable
Commitments
adlitions
activties
programming
fromissuance
Paid
andretired
Contributed
Visteon
restructurings
Lult
ofrepurchased
Tiahilitioc
Marketingand
liahilities
Companies
andLTIP
Discounts
annualized
amntized
exenses
Foration
sheets
Oiland
miners
Ocupancy
ofpayroll
ICPpCClivCly
TOTALADJUSTMENTS
coch
ofdebt
receivablelpayable
authorities
JAfiai
UUU
Trans
pnui
refinancing
accounts
Jakks
ofreserves
